Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
4987475	 +0.017798	 +0.018626	 +0.024167	 +0.000908	 +0.000892	 +0.000806	 +2.986078	 +0.066019	 +0.188917
4992475	 +0.017800	 +0.018621	 +0.024169	 +0.000908	 +0.000892	 +0.000806	 +2.984547	 +0.065965	 +0.188850
4997475	 +0.017792	 +0.018593	 +0.024167	 +0.000907	 +0.000893	 +0.000804	 +2.983002	 +0.065911	 +0.188783
5002475	 +0.017791	 +0.018593	 +0.024168	 +0.000909	 +0.000891	 +0.000803	 +2.981444	 +0.065857	 +0.188715
5002475	 +0.017791	 +0.018593	 +0.024168	 +0.000909	 +0.000891	 +0.000803	 +2.981444	 +0.065857	 +0.188715
5007475	 +0.017822	 +0.018626	 +0.024166	 +0.000909	 +0.000891	 +0.000803	 +2.979873	 +0.065801	 +0.188647
5012475	 +0.017821	 +0.018636	 +0.024184	 +0.000909	 +0.000889	 +0.000803	 +2.978289	 +0.065746	 +0.188577
5017475	 +0.017822	 +0.018579	 +0.024160	 +0.000909	 +0.000889	 +0.000802	 +2.976691	 +0.065690	 +0.188507
5022475	 +0.017817	 +0.018580	 +0.024159	 +0.000909	 +0.000890	 +0.000802	 +2.975080	 +0.065633	 +0.188436
5027475	 +0.017817	 +0.018560	 +0.024158	 +0.000909	 +0.000889	 +0.000802	 +2.973456	 +0.065576	 +0.188365
5032475	 +0.017800	 +0.018560	 +0.024163	 +0.000907	 +0.000891	 +0.000802	 +2.971818	 +0.065518	 +0.188292
5037475	 +0.017817	 +0.018560	 +0.024136	 +0.000907	 +0.000891	 +0.000802	 +2.970166	 +0.065460	 +0.188219
5042475	 +0.017827	 +0.018574	 +0.024089	 +0.000910	 +0.000891	 +0.000802	 +2.968502	 +0.065401	 +0.188146
5047475	 +0.017830	 +0.018568	 +0.024094	 +0.000910	 +0.000891	 +0.000802	 +2.966823	 +0.065342	 +0.188071
5052475	 +0.017867	 +0.018577	 +0.024097	 +0.000908	 +0.000892	 +0.000802	 +2.965132	 +0.065283	 +0.187996
5057475	 +0.017884	 +0.018546	 +0.024064	 +0.000907	 +0.000892	 +0.000800	 +2.963426	 +0.065222	 +0.187920
5062475	 +0.017908	 +0.018551	 +0.023920	 +0.000907	 +0.000892	 +0.000799	 +2.961707	 +0.065162	 +0.187844
5067476	 +0.017908	 +0.018502	 +0.023913	 +0.000907	 +0.000893	 +0.000800	 +2.959975	 +0.065101	 +0.187766
5072475	 +0.017932	 +0.018499	 +0.023917	 +0.000908	 +0.000895	 +0.000800	 +2.958229	 +0.065039	 +0.187688
5077495	 +0.017924	 +0.018501	 +0.023891	 +0.000908	 +0.000894	 +0.000800	 +2.956469	 +0.064977	 +0.187610
5082745	 +0.017921	 +0.018549	 +0.023893	 +0.000908	 +0.000894	 +0.000800	 +2.954696	 +0.064914	 +0.187530
5087704	 +0.017914	 +0.018555	 +0.023852	 +0.000908	 +0.000893	 +0.000800	 +2.952912	 +0.064850	 +0.187445
5092712	 +0.017914	 +0.018576	 +0.023857	 +0.000907	 +0.000893	 +0.000800	 +2.951114	 +0.064786	 +0.187358
5097475	 +0.017904	 +0.018592	 +0.023856	 +0.000908	 +0.000894	 +0.000801	 +2.949301	 +0.064724	 +0.187274
5102475	 +0.017910	 +0.018587	 +0.023858	 +0.000907	 +0.000894	 +0.000801	 +2.947474	 +0.064661	 +0.187188
5107475	 +0.017915	 +0.018588	 +0.023844	 +0.000908	 +0.000894	 +0.000801	 +2.945633	 +0.064598	 +0.187102
5112476	 +0.017906	 +0.018589	 +0.023819	 +0.000907	 +0.000894	 +0.000801	 +2.943779	 +0.064534	 +0.187015
5117475	 +0.017921	 +0.018607	 +0.023819	 +0.000907	 +0.000893	 +0.000801	 +2.941911	 +0.064470	 +0.186928
5122475	 +0.017875	 +0.018612	 +0.023821	 +0.000908	 +0.000894	 +0.000801	 +2.940028	 +0.064405	 +0.186840
5127476	 +0.017902	 +0.018612	 +0.023830	 +0.000909	 +0.000894	 +0.000801	 +2.938133	 +0.064340	 +0.186750
5132475	 +0.017897	 +0.018601	 +0.023834	 +0.000908	 +0.000898	 +0.000803	 +2.936223	 +0.064274	 +0.186661
5137475	 +0.017900	 +0.018594	 +0.023817	 +0.000908	 +0.000898	 +0.000804	 +2.934299	 +0.064208	 +0.186570
5142475	 +0.017870	 +0.018598	 +0.023810	 +0.000909	 +0.000898	 +0.000804	 +2.932362	 +0.064141	 +0.186478
5147475	 +0.017857	 +0.018638	 +0.023768	 +0.000909	 +0.000898	 +0.000804	 +2.930410	 +0.064073	 +0.186386
5152475	 +0.017852	 +0.018642	 +0.023768	 +0.000909	 +0.000898	 +0.000804	 +2.928445	 +0.064005	 +0.186293
5157475	 +0.017860	 +0.018635	 +0.023790	 +0.000908	 +0.000900	 +0.000802	 +2.926465	 +0.063937	 +0.186200
5162475	 +0.017854	 +0.018616	 +0.023770	 +0.000909	 +0.000900	 +0.000803	 +2.924471	 +0.063868	 +0.186105
5167476	 +0.017837	 +0.018610	 +0.023770	 +0.000910	 +0.000900	 +0.000802	 +2.922464	 +0.063798	 +0.186010
5172476	 +0.017830	 +0.018606	 +0.023779	 +0.000910	 +0.000900	 +0.000802	 +2.920442	 +0.063728	 +0.185914
5177476	 +0.017837	 +0.018597	 +0.023762	 +0.000910	 +0.000899	 +0.000802	 +2.918406	 +0.063657	 +0.185817
5182475	 +0.017855	 +0.018603	 +0.023723	 +0.000910	 +0.000899	 +0.000803	 +2.916356	 +0.063586	 +0.185720
5187475	 +0.017832	 +0.018614	 +0.023729	 +0.000909	 +0.000899	 +0.000803	 +2.914292	 +0.063514	 +0.185621
5192476	 +0.017848	 +0.018612	 +0.023719	 +0.000908	 +0.000899	 +0.000804	 +2.912213	 +0.063442	 +0.185522
5197475	 +0.017849	 +0.018613	 +0.023721	 +0.000909	 +0.000899	 +0.000803	 +2.910121	 +0.063369	 +0.185422
5202475	 +0.017857	 +0.018625	 +0.023726	 +0.000908	 +0.000900	 +0.000803	 +2.908014	 +0.063296	 +0.185322
5202475	 +0.017857	 +0.018625	 +0.023726	 +0.000908	 +0.000900	 +0.000803	 +2.908014	 +0.063296	 +0.185322
5207476	 +0.017860	 +0.018631	 +0.023713	 +0.000907	 +0.000899	 +0.000803	 +2.905893	 +0.063222	 +0.185220
5212475	 +0.017892	 +0.018628	 +0.023692	 +0.000906	 +0.000899	 +0.000803	 +2.903757	 +0.063147	 +0.185118
5217475	 +0.017885	 +0.018647	 +0.023681	 +0.000908	 +0.000899	 +0.000803	 +2.901607	 +0.063072	 +0.185015
5222475	 +0.017887	 +0.018649	 +0.023683	 +0.000908	 +0.000899	 +0.000803	 +2.899442	 +0.062996	 +0.184911
5227475	 +0.017885	 +0.018649	 +0.023693	 +0.000908	 +0.000899	 +0.000803	 +2.897264	 +0.062920	 +0.184807
5232476	 +0.017893	 +0.018635	 +0.023763	 +0.000909	 +0.000899	 +0.000803	 +2.895071	 +0.062843	 +0.184702
5237475	 +0.017914	 +0.018656	 +0.023712	 +0.000908	 +0.000899	 +0.000804	 +2.892863	 +0.062766	 +0.184596
5242475	 +0.017906	 +0.018646	 +0.023723	 +0.000908	 +0.000899	 +0.000804	 +2.890640	 +0.062688	 +0.184489
5247476	 +0.017898	 +0.018626	 +0.023724	 +0.000908	 +0.000899	 +0.000804	 +2.888404	 +0.062609	 +0.184381
5252475	 +0.017923	 +0.018626	 +0.023700	 +0.000908	 +0.000899	 +0.000803	 +2.886152	 +0.062530	 +0.184273
5257475	 +0.017928	 +0.018618	 +0.023694	 +0.000908	 +0.000899	 +0.000803	 +2.883886	 +0.062451	 +0.184163
5262475	 +0.017928	 +0.018613	 +0.023693	 +0.000909	 +0.000899	 +0.000804	 +2.881605	 +0.062370	 +0.184053
5267475	 +0.017929	 +0.018607	 +0.023681	 +0.000910	 +0.000898	 +0.000804	 +2.879310	 +0.062290	 +0.183942
5272493	 +0.017929	 +0.018608	 +0.023678	 +0.000909	 +0.000899	 +0.000803	 +2.877000	 +0.062208	 +0.183831
5277491	 +0.017930	 +0.018612	 +0.023692	 +0.000910	 +0.000899	 +0.000802	 +2.874675	 +0.062126	 +0.183718
5282745	 +0.017927	 +0.018609	 +0.023689	 +0.000909	 +0.000899	 +0.000803	 +2.872335	 +0.062044	 +0.183605
5287745	 +0.017903	 +0.018601	 +0.023675	 +0.000909	 +0.000898	 +0.000803	 +2.869983	 +0.061960	 +0.183486
5292710	 +0.017909	 +0.018602	 +0.023737	 +0.000909	 +0.000896	 +0.000803	 +2.867616	 +0.061876	 +0.183365
5297476	 +0.017883	 +0.018609	 +0.023737	 +0.000909	 +0.000896	 +0.000803	 +2.865234	 +0.061794	 +0.183246
5302476	 +0.017895	 +0.018611	 +0.023721	 +0.000909	 +0.000896	 +0.000803	 +2.862836	 +0.061711	 +0.183126
5307475	 +0.017893	 +0.018605	 +0.023694	 +0.000909	 +0.000893	 +0.000804	 +2.860423	 +0.061628	 +0.183006
5312475	 +0.017917	 +0.018605	 +0.023667	 +0.000909	 +0.000894	 +0.000804	 +2.857996	 +0.061544	 +0.182884
5317475	 +0.017926	 +0.018615	 +0.023680	 +0.000909	 +0.000894	 +0.000804	 +2.855553	 +0.061460	 +0.182762
5322475	 +0.017930	 +0.018582	 +0.023679	 +0.000909	 +0.000895	 +0.000804	 +2.853095	 +0.061375	 +0.182639
5327475	 +0.017936	 +0.018582	 +0.023687	 +0.000909	 +0.000895	 +0.000804	 +2.850622	 +0.061289	 +0.182515
5332474	 +0.017926	 +0.018586	 +0.023677	 +0.000909	 +0.000895	 +0.000805	 +2.848134	 +0.061202	 +0.182390
